year,film,category,won,discount
1997,Titanic,"ACTRESS IN A LEADING ROLE -- Kate Winslet {""Rose DeWitt Bukater""}",,
1997,Titanic,"ACTRESS IN A SUPPORTING ROLE -- Gloria Stuart {""Old Rose""}",,
1997,Titanic,ART DIRECTION -- Art Direction: Peter Lamont; Set Decoration: Michael Ford ,won,
1997,Titanic,CINEMATOGRAPHY -- Russell Carpenter ,won,
1997,Titanic,COSTUME DESIGN -- Deborah L. Scott ,won,
1997,Titanic,DIRECTING -- James Cameron ,won,
1997,Titanic,"FILM EDITING -- Conrad Buff, James Cameron, Richard A. Harris ",won,
1997,Titanic,"MAKEUP -- Tina Earnshaw, Greg Cannom, Simon Thompson",,
1997,Titanic,MUSIC (Original Dramatic Score) -- James Horner ,won,
1997,Titanic,"MUSIC (Original Song) -- ""My Heart Will Go On,"" Music by James Horner; Lyric by Will Jennings ",won,
1997,Titanic,"BEST PICTURE -- James Cameron and Jon Landau, Producers ",won,
1997,Titanic,"SOUND -- Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano ",won,
1997,Titanic,"SOUND EFFECTS EDITING -- Tom Bellfort, Christopher Boyes ",won,
1997,Titanic,"VISUAL EFFECTS -- Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer ",won,
1953,All about Eve,"ACTOR IN A SUPPORTING ROLE -- George Sanders {""Addison De Witt""} ",won,
1953,All about Eve,"ACTRESS -- Anne Baxter {""Eve Harrington""}",,
1953,All about Eve,"ACTRESS -- Bette Davis {""Margo Channing""}",,
1953,All about Eve,"ACTRESS IN A SUPPORTING ROLE -- Celeste Holm {""Karen Richards""}",,
1953,All about Eve,"ACTRESS IN A SUPPORTING ROLE -- Thelma Ritter {""Birdie""}",,
1953,All about Eve,"ART DIRECTION (Black-and-White) -- Art Direction: Lyle Wheeler, George W. Davis; Set Decoration: Thomas Little, Walter M. Scott",,
1953,All about Eve,CINEMATOGRAPHY (Black-and-White) -- Milton Krasner,,
1953,All about Eve,"COSTUME DESIGN (Black-and-White) -- Edith Head, Charles LeMaire",won,
1953,All about Eve,DIRECTING -- Joseph L. Mankiewicz ,won,
1953,All about Eve,FILM EDITING -- Barbara McLean,,
1953,All about Eve,MUSIC (Music Score of a Dramatic or Comedy Picture) -- Alfred Newman,,
1953,All about Eve,BEST MOTION PICTURE -- 20th Century-Fox ,won,
1953,All about Eve,"SOUND RECORDING -- 20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",won,
1953,All about Eve,WRITING (Screenplay) -- Joseph L. Mankiewicz,won,
2016,La La Land,"ACTOR IN A LEADING ROLE -- Ryan Gosling {""Sebastian""}",,
2016,La La Land,"ACTRESS IN A LEADING ROLE -- Emma Stone {""Mia""}",won,
2016,La La Land,CINEMATOGRAPHY -- Linus Sandgren,won,
2016,La La Land,COSTUME DESIGN -- Mary Zophres,,
2016,La La Land,DIRECTING -- Damien Chazelle,won,
2016,La La Land,FILM EDITING -- Tom Cross,,
2016,La La Land,MUSIC (Original Score) -- Justin Hurwitz,won,
2016,La La Land,"MUSIC (Original Song) -- ""Audition (The Fools Who Dream),"" Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul",,
2016,La La Land,"MUSIC (Original Song) -- ""City of Stars,"" Music by Justin Hurwitz; Lyric by Benj Pasek and Justin Paul",won,
2016,La La Land,"BEST PICTURE -- Fred Berger, Jordan Horowitz and Marc Platt, Producers",,
2016,La La Land,PRODUCTION DESIGN -- Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco,won,
2016,La La Land,SOUND EDITING -- Ai-Ling Lee and Mildred Iatrou Morgan,,
2016,La La Land,"SOUND MIXING -- Andy Nelson, Ai-Ling Lee and Steve A. Morrow",,
2016,La La Land,WRITING (Original Screenplay) -- Written by Damien Chazelle,,
2002,Chicago,"ACTOR IN A SUPPORTING ROLE -- John C. Reilly {""Amos Hart""}",,
2002,Chicago,"ACTRESS IN A LEADING ROLE -- Renée Zellweger {""Roxie Hart""}",,
2002,Chicago,"ACTRESS IN A SUPPORTING ROLE -- Queen Latifah {""Matron Mama Morton""}",,
2002,Chicago,"ACTRESS IN A SUPPORTING ROLE -- Catherine Zeta-Jones {""Velma Kelly""}",won,
2002,Chicago,ART DIRECTION -- Art Direction: John Myhre; Set Decoration: Gordon Sim,won,
2002,Chicago,CINEMATOGRAPHY -- Dion Beebe,,
2002,Chicago,COSTUME DESIGN -- Colleen Atwood,won,
2002,Chicago,DIRECTING -- Rob Marshall,,
2002,Chicago,FILM EDITING -- Martin Walsh,won,
2002,Chicago,"MUSIC (Original Song) -- ""I Move On,"" Music by John Kander; Lyric by Fred Ebb",,
2002,Chicago,"BEST PICTURE -- Martin Richards, Producer",won,
2002,Chicago,"SOUND -- Michael Minkler, Dominick Tavella, David Lee",won,
2002,Chicago,WRITING (Adapted Screenplay) -- Screenplay by Bill Condon,,
1994,Forrest Gump,"ACTOR IN A LEADING ROLE -- Tom Hanks {""Forrest Gump""}",won,
1994,Forrest Gump,"ACTOR IN A SUPPORTING ROLE -- Gary Sinise {""Lieutenant Dan""}",,
