film,win_count,total_count,win_percentage
1917,3,10,30
A Passage to India,2,11,18.181818181818183
A Streetcar Named Desire,4,12,33.33333333333333
Airport,1,10,10
All about Eve,6,14,42.857142857142854
Amadeus,8,11,72.72727272727273
American Hustle,0,10,0
Anne of the Thousand Days,1,10,10
Becket,1,12,8.333333333333332
Ben-Hur,11,12,91.66666666666666
Bonnie and Clyde,2,10,20
Braveheart,5,10,50
Bugsby,2,10,20
Cabaret,8,10,80
Chicago,6,13,46.15384615384615
Chinatown,1,11,9.090909090909092
"Crouching Tiger, Hidden Dragon",4,10,40
Dances With Wolves,7,12,58.333333333333336
Doctor Zhivago,5,10,50
Dune,6,10,60
Everything Everywhere All at Once,7,11,63.63636363636363
Forrest Gump,6,13,46.15384615384615
From here to Eternity,8,13,61.53846153846154
Gandhi,8,11,72.72727272727273
Gangs of New York,0,10,0
Giant,1,10,10
Gladiator,5,12,41.66666666666667
Going My Way,7,10,70
Gone with the Wind,8,13,61.53846153846154
Gravity,7,10,70
Guess Who's Coming to Dinner,2,10,20
How Green Was My Valley,5,10,50
Hugo,5,11,45.45454545454545
Johnny Belinda,1,12,8.333333333333332
Joker,2,11,18.181818181818183
Judgment at Nuremberg,2,11,18.181818181818183
Julia,3,11,27.27272727272727
La La Land,6,14,42.857142857142854
Lawrence of Arabia,7,10,70
Life of Pi,4,11,36.36363636363637
Lincoln,2,12,16.666666666666664
Mad Max: Fury Road,6,10,60
Mank,2,10,20
Mary Poppins,5,13,38.46153846153847
Master and Commander: The Far Side of the World,2,10,20
Mr. Smith Goes to Washington,1,11,9.090909090909092
Mrs. Miniver,6,12,50
My Fair Lady,8,12,66.66666666666666
Network,4,10,40
Oliver!,5,11,45.45454545454545
On Golden Pond,3,10,30
On the Waterfront,8,12,66.66666666666666
Once upon a Time...in Hollywood,2,10,20
Out of Africa,7,11,63.63636363636363
Patton,7,10,70
Rebecca,2,11,18.181818181818183
Reds,3,12,25
Rocky,3,10,30
Roma,3,10,30
Roman Holiday,3,10,30
Saving Private Ryan,5,11,45.45454545454545
Sayonara,4,10,40
Schindler's List,7,12,58.333333333333336
Sergeant York,2,11,18.181818181818183
Shakespeare in Love,7,13,53.84615384615385
Slumdog Millionaire,8,10,80
Star Wars,6,10,60
Sunset Blvd.,3,11,27.27272727272727
Terms of Endearment,5,11,45.45454545454545
The Apartment,5,10,50
The Artist,5,10,50
The Aviator,5,11,45.45454545454545
The Color Purple,0,11,0
The Curious Case of Benjamin Button,3,13,23.076923076923077
The English Patient,9,12,75
The Exorcist,2,10,20
The Favourite,1,10,10
The Godfather,3,10,30
The Godfather Part II,6,11,54.54545454545454
The Irishman,0,10,0
The King's Speech,4,12,33.33333333333333
The Life of Emile Zola,3,10,30
The Lord of the Rings: The Fellowship of the Ring,4,13,30.76923076923077
The Lord of the Rings: The Return of the King,11,11,100
The Power of the Dog,1,12,8.333333333333332
The Pride of the Yankees,1,11,9.090909090909092
The Revenant,3,12,25
The Shape of Water,4,13,30.76923076923077
The Song of Bernadette,4,12,33.33333333333333
The Sound of Music,5,10,50
The Sting,7,10,70
The Turning Point,0,11,0
Titanic,11,14,78.57142857142857
Tom Jones,4,10,40
Tootsie,1,10,10
True Grit,0,10,0
West Side Story,10,11,90.9090909090909
Who's Afraid of Virginia Woolf?,5,13,38.46153846153847
Wilson,5,10,50
